fides_key,is_default,legal_basis,legitimate_interest,legitimate_interest_impact_assessment,name,organization_fides_key,parent_key,recipients,special_category,tags,description
Finance,True,,False,,Finance,default_organization,,,,,TODO
analytics,True,,False,,Analytics,default_organization,,,,,TODO
collect,True,,False,,Collect,default_organization,,,,,Collecting and storing data in order to use it for another purpose such as data training for ML.
employment,True,,False,,Employment,default_organization,,,,,TODO
essential,True,,False,,TODO,default_organization,,,,,"Provide, give, or make available the product, service, application or system."
essential.legal_obligation,True,,False,,Legal Obligation,default_organization,essential,,,,TODO
essential.service,True,,False,,Service,default_organization,essential,,,,"The source service, system, or product being provided to the user."
essential.service.operations,True,,False,,Service Operations,default_organization,essential.service,,,,Use of specified data categories to operate and protect in order to provide the service.
essential.service.upgrades,True,,False,,Offer Upgrades,default_organization,essential.service,,,,Offer upgrades or upsales such as increased capacity for the service based on monitoring of service usage.
essential.service.operations.support,True,,False,,Operations Support,default_organization,essential.service.operations,,,,Use of specified data categories to provide support for operation and protection in order to provide the service.
essential.service.operations.support.optimization,True,,False,,Support Optimization,default_organization,essential.service.operations.support,,,,Use of specified data categories to optimize and improve support operations in order to provide the service.
improve,True,,False,,Improve the capability,default_organization,,,,,"Improve the product, service, application or system."
improve.system,True,,False,,System,default_organization,improve,,,,"The source system, product, service or application being improved."
marketing,True,,False,,Marketing,default_organization,,,,,
marketing.advertising,True,,False,,"Advertising, Marketing or Promotion",default_organization,marketing,,,,The promotion of products or services targeted to users based on the the processing of user provided data in the system.
marketing.advertising.first_party,True,,False,,First Party Advertising,default_organization,marketing.advertising,,,,The promotion of products or services targeting users based on processing of derviced data from prior use of the system.
marketing.advertising.first_party.contextual,True,,False,,First Party Contextual Advertising,default_organization,marketing.advertising.first_party,,,,The promotion of products or services targeted to users based on the processing of data from the users prior use of the services.
marketing.advertising.first_party.targeted,True,,False,,First Party Personalized Advertising,default_organization,marketing.advertising.first_party,,,,The targeting and changing of promotional content based on processing of specific data categories from the user.
marketing.advertising.third_party.targeted,True,,False,,Third Party Personalized Advertising,default_organization,marketing.advertising.third_party,,,,The targeting and changing of promotional content based on processing of specific categories of user data acquired from third party sources.
operations,True,,False,,Operations,default_organization,,,,,TODO
personalize,True,,False,,Personalize the capability,default_organization,,,,,"Personalize the product, service, application or system."
personalize.system,True,,False,,System,default_organization,personalize,,,,"The source system, product, service or application being personalized."
sales,True,,False,,Sales,default_organization,,,,,TODO
third_party_sharing,True,,False,,Third Party Sharing,default_organization,,,,,The transfer of specified data categories to third parties outside of the system/application's scope.
third_party_sharing.payment_processing,True,,False,,Sharing for Processing Payments,default_organization,third_party_sharing,,,,Sharing of specified data categories with a third party for payment processing.
third_party_sharing.fraud_detection,True,,False,,Sharing for Fraud Detection,default_organization,third_party_sharing,,,,Sharing of specified data categories with a third party fo fraud prevention/detection.
third_party_sharing.legal_obligation,True,,False,,Sharing for Legal Obligation,default_organization,third_party_sharing,,,,"Sharing of data for legal obligations, including contracts, applicable laws or regulations."
train_ai_system,True,,False,,Train AI System,default_organization,,,,,"Training an AI system. Please note when this data use is specified, the method and degree to which a user may be directly identified in the resulting AI system should be appended."
