fides_key,parent_key,name,description
data_category,,Data Category,
strictly_necessary,data_category,Title,"Provides essential functions such as legal compliance, security, basic system operations, and support. Without the strictly_necessary data use, the product or service cannot operate or meet legal and security requirements"
operational,data_category,Title,"Facilitates operations for the service or product, including product improvements."
analytics,data_category,Title,"Provides analytics for activities such as system and advertising performance reporting, insights and advertising fraud detection."
advertising_marketing,data_category,Title,"Enables marketing, promotion, advertising and sales activities for the product, service, application or system."
disclosure,data_category,Title,Provides information regarding whether the data is being transmitted to other parties.
collect,data_category,Title,Collecting and storing data in order to use it for another purpose such as data training for ML.
train_ai_system,data_category,Title,Trains an AI system or data model for machine learning.
strictly_necessary.fraud_detection,strictly_necessary,Title,"Detects possible fraud or misuse of the product, service, application or system."
strictly_necessary.legal_obligation,strictly_necessary,Title,Provides service to meet a legal or compliance obligation such as consent management.
strictly_necessary.service,strictly_necessary,Title,"Provides the strictly_necessary product, service, application or system, without which the product/service would not be possible."
strictly_necessary.legal_obligation.hold,strictly_necessary.legal_obligation,Title,Provides service to meet a legal hold.
strictly_necessary.service.notifications.email,strictly_necessary.service.notifications,Title,"Sends email notifications about the product, service, application or system."
strictly_necessary.service.notifications.sms,strictly_necessary.service.notifications,Title,"Sends SMS notifications about the product, service, application or system."
strictly_necessary.operations.support,strictly_necessary.service.notifications,Title,"Provides support for the product, service, application or system."
strictly_necessary.operations,strictly_necessary,Title,
strictly_necessary.operations.improve,strictly_necessary.operations,Title,"Necessary to optimize and improve support for the product, service, application or system."
strictly_necessary.operations.quality_assurance,strictly_necessary.operations,Title,"Necessary to provide quality assurance for the product, service, application, or system."
strictly_necessary.operations.debugging,strictly_necessary.operations,Title,"Necessary to debug the product, service, application, or system."
strictly_necessary.service.authentication,strictly_necessary.service,Title,"Authenticate users to the product, service, application or system."
strictly_necessary.service.notifications,strictly_necessary.service,Title,"Sends notifications about the product, service, application or system."
strictly_necessary.service.operations,strictly_necessary.service,Title,"strictly_necessary to ensure the operation of the product, service, application or system."
strictly_necessary.service.payment_processing,strictly_necessary.service,Title,"strictly_necessary to processes payments for the product, service, application or system."
strictly_necessary.service.security,strictly_necessary.service,Title,"strictly_necessary to provide security for the product, service, application or system"
strictly_necessary.service.upgrades,strictly_necessary.service,Title,Provides timely system upgrade information options.
operational.service,operational,Title,"Functions relating to provided services, products, applications or systems."
operational.website_use,operational,Title,"Provides information relating to how consumers use the website, product, service, application, or system."
operational.survey,operational,Title,"Information relating to surveys provided to assist with improving the website, product, service, application or systems."
operational.service.customer_support,operational.service,Title,BLANK
operational.service.customer_support.improve,operational.service.customer_support,Title,"Improves the specific product, service, application or system."
analytics.ad_reporting.measure_ad_performance,analytics.ad_reporting,Title,Provides analytics for reporting of advertising performance.
analytics.ad_reporting,analytics,Title,
analytics.ad_reporting.market_research,analytics.ad_reporting,Title,Provides analytics for reporting of market research.
analytics.ad_reporting.ad_fraud_detection,analytics.ad_reporting,Title,Provides analytics for reporting on fraud detection.
analytics.ad_reporting.ad_viewability,analytics.ad_reporting,Title,Provides analytics for reporting on viewability of ads.
analytics.reporting,analytics,Title,
analytics.reporting.ad_performance,analytics.reporting,Title,Provides analytics for reporting of advertising performance.
analytics.reporting.content_performance,analytics.reporting,Title,Analytics for reporting on content performance.
analytics.reporting.campaign_insights,analytics.reporting,Title,Provides analytics for reporting of campaign insights related to advertising and promotion activities.
analytics.reporting.system,analytics.reporting,Title,Provides analytics for reporting on system activity.
analytics.reporting.system.performance,analytics.reporting.system,Title,Provides analytics for reporting on system performance.
analytics.ad_delivery_and_targeting,analytics,Title,Provides analytics for reporting of advertising performance.
advertising_marketing.first_party.contextual,advertising_marketing.first_party,Title,Serves advertisements based on current content being viewed by the user of the system or service.
advertising_marketing.first_party.targeted,advertising_marketing.first_party,Title,Targets advertisements based on data collected or derived about the user from use of the system.
advertising_marketing.third_party.targeted,advertising_marketing.third_party,Title,Targets advertisements based on data within the system or joined with data provided by 3rd parties.
advertising_marketing.communications,advertising_marketing,Title,"Uses combined channels to message and market to a customer, user or prospect."
advertising_marketing.first_party,advertising_marketing,Title,Serves advertisements based on first party data collected or derived about the user.
advertising_marketing.frequency_capping,advertising_marketing,Title,Restricts the number of times a specific advertisement is shown to an individual.
advertising_marketing.negative_targeting,advertising_marketing,Title,Enforces rules used to ensure a certain audience or group is not targeted by advertising.
advertising_marketing.profiling,advertising_marketing,Title,Creates audience profiles for the purpose of targeted advertising
advertising_marketing.serving,advertising_marketing,Title,Services to the delivery of advertising and content.
advertising_marketing.third_party,advertising_marketing,Title,Serves advertisements based on data within the system or joined with data provided by 3rd parties.
advertising_marketing.communications.email,advertising_marketing.communications,Title,Sends email marketing communications.
advertising_marketing.communications.sms,advertising_marketing.communications,Title,Sends SMS marketing communications.
advertising_marketing.personalize,advertising_marketing,Title,
advertising_marketing.personalize.content,advertising_marketing.personalize,Title,"Personalizes the content of the product, service, application or system."
advertising_marketing.personalize.profiling,advertising_marketing.personalize,Title,Creates profiles for the purpose of serving content.
advertising_marketing.personalize.system,advertising_marketing.personalize,Title,Personalizes the system.
disclosure.third_party_sale,disclosure,Title,Discloses data for cross-contextual/targeted advertising
disclosure.outside_counsel,disclosure,Title,"Discloses data for legal obligations, including contracts, applicable laws or regulations."
disclosure.law_enforcement,disclosure,Title,Discloses data for legal obligations arising out of law enforcement requiring it for emergency purposes
disclosure.share,disclosure,Title,"Disclosures data for purposes of sharing data, such as for cross-contextual/targeted advertising"
disclosure.sale,disclosure,Title,"Disclosures data for purposes of sharing data, such as for cross-contextual/targeted advertising or for purposes of selling the data for monetary value"
