fides_key,parent_key,name,triggered_laws,description
data_category,,Data Category,,
system,data_category,System Data,,"System data that does not belong to, or identify an individual."
system.operations,system,System Operations Data,,Data used for the operations of the system.
system.authentication,system,System Authentication Data,,Data used to manage access to the system.
user,data_category,User Data,,User related data.
user.account,user,Account Data,,Account information.
user.authorization,user,Authorization,,Scope of permissions and access to a system.
user.behavior,user,Behavior,"WA MHMD, NV Health",Behavioral data about the subject.
user.biometrics,user,Biometrics,"CA, CT, CO, VA, UT, OR, TX, WA MHMD, NV Health",Returns encoded characteristics provided by a user.
user.children,user,Children,"CA, CT, CO, VA, UT, OR, TX",Data relating to children 
user.contact,user,Contact,,Contact data collected about a user.
user.content,user,Content,,"Content related to, or created by the subject."
user.criminal_history,user,Criminal History,,Criminal records or information about the data subject.
user.demographic,user,Demographic,,Demographic data.
user.device,user,Device,,"Data related to a user's device, configuration and setting."
user.financial,user,Financial,,Payment data and financial history.
user.government_id,user,Government ID,CA,State provided identification data.
user.health,user,Health,"CA, CT, CO, VA, UT, OR, TX, WA MHMD, NV Health",Health records or individual's personal medical information.
user.authorization.biometrics,user.authorization,Authorization Biometrics,"CA, CT, CO, VA, UT, OR, TX, WA MHMD, IL BIPA",Credentials for system authentication based on biometrics.
user.biometrics.fingerprint,user.biometrics,Biometrics Fingerprint,"CA, CT, CO, VA, UT, OR, TX, WA MHMD, IL BIPA",Fingerprint encoded data about a subject.
user.biometrics.retinal,user.biometrics,Biometrics Retinal,"CA, CT, CO, VA, UT, OR, TX, WA MHMD, IL BIPA ",Retinal data about a subject.
user.biometrics.voice,user.biometrics,Biometrics Voice,"CA, CT, CO, VA, UT, OR, TX, WA MHMD, IL BIPA ",Voice encoded data about a subject.
user.children.children_under_thirteen,user.children,Children Under Thirteen,"CA, CT, CO, VA, UT, OR, TX",Data relating to children under 13.
user.children.thirteen_to_sixteen,user.children,Child Thriteen-to-Sixteen,CA,Data relating to children between 13-15. 
user.demographic.sexual_orientation,user.demographic,Sexual Orientation,"CA, CT, CO, VA, UT, OR, TX",Sexual orientation of data subject.
user.demographic.race_ethnicity,user.demographic,Race or Ethnicity,"CA, CT, CO, VA, UT, OR, TX",Race or ethnicity of data subject.
user.demographic.citizenship_or_immigration_status,user.demographic,Citzenship or Immigration Status,"CA, CT, CO, VA, UT, OR, TX",Citizen or immigration status of data subject.
user.demographic.religious_belief,user.demographic,Religious Beliefs,"CA, CT, CO, VA, UT, OR, TX",Religion or religious beliefs of the data subject.
user.demographic.philosophical_belief,user.demographic,Philosophical Beliefs,CA,Philosophical beliefs of the data subject.
user.government_id.passport_number,user.government_id,Passport Number,CA,Government issued passport data.
